id,ime_recepta,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20257,Pisana solata z avokadom,solate,13,2,2015,15 minut,1
20258,Lovska ali stefani pečenka po moje,mesne jedi: mešano meso,14,2,2015,90 minut,1
20259,Mini krofki ,sladice: ostalo,16,2,2015,30 minut,1
20260,Tortica za valentinovo,sladice: torte,16,2,2015,180 minut,2
20261,Pustni piškoti,sladice: piškoti,16,2,2015,60 minut,1
20262,Pustne bombetke brez cvrtja - iz pečice,sladice: ostalo,16,2,2015,90 minut,3
20263,Borovničeva torta ,sladice: torte,17,2,2015,60 minut,2
20264,Jogurtova torta z avokadom,sladice: torte,17,2,2015,75 minut,2
20265,Krompirjeva torta s špinačo; pršutom; sirom ,sirove jedi,17,2,2015,150 minut,2
20266,Čokoladne vrtnice,sladice: pecivo,17,2,2015,150 minut,3
20267,Otroška torta,sladice: torte,23,2,2015,90 minut,2
20268,Motovilčeva solata s postrvjo,solate,23,2,2015,30 minut,2
20269,Kašnice; kašne klobase ,mesne jedi: svinjina,24,2,2015,60 minut,2
20270,Kozice v smetanovi omaki,morska hrana: raki,24,2,2015,30 minut,1
20271,Jagodna torta z Linolado ,sladice: torte,24,2,2015,45 minut,3
20272,Ričet,enolončnice,24,2,2015,90 minut,1
20275,Kuskusovi žličniki s čemažem ali špinačo,priloge: ostalo,25,2,2015,45 minut,2
20276,Mini tortice,sladice: pecivo,25,2,2015,60 minut,2
20277,Pomarančni biskvit,sladice: pecivo,25,2,2015,90 minut,2
20278,Bordo marmelada ,ozimnica: sladki shranki,25,2,2015,120 minut,2
20279,Krogci z gresom in višnjami,sladice: pecivo,26,2,2015,60 minut,2
20280,Pica kruh v obliki rože,kruh,26,2,2015,90 minut,3
20281,Pizza sonce,kruh,26,2,2015,90 minut,3
20282,Skrite hrenovke,kruh,26,2,2015,90 minut,2
20283,Palačinke v pečici,sladice: palačinke,27,2,2015,120 minut,4
20284,Čokoladni rezanci,sladice: ostalo,27,2,2015,90 minut,2
20285,Bakalca,mesne jedi: govedina,27,2,2015,120 minut,3
20286,Jogurtov biskvit za rulado,sladice: pecivo,4,3,2015,45 minut,1
20287,Krompirjevo - ribje polpete,morska hrana: ribe,4,3,2015,4+ ur,2
20288,Jagodna "krašotica" ,sladice: torte,5,3,2015,4+ ur,2
20289,Limonine tortice,sladice: torte,5,3,2015,15 minut,1
20290,Pekoče testenine 2 »ala fasulas«,eksotika: ostale dežele,6,3,2015,60 minut,1
20291,Prleška ajdova župa »ala fasulas«,juhe in zakuhe: ostale juhe,7,3,2015,60 minut,1
20292,Proteinske kroglice s temno čokolado,sladice: ostalo,8,3,2015,30 minut,1
20293,Velikonočna šunka s kostjo v krušnem testu,mesne jedi: ostalo,6,3,2015,240 minut,4
20294,Špinačno - pirini njoki,testenine,9,3,2015,30 minut,1
20295,Čokoladni kolač s hruško,sladice: pecivo,10,3,2015,90 minut,2
20296,Dream mix,sladice: ostalo,11,3,2015,45 minut,2
20298,Korenčkova solata z dodatki,solate,11,3,2015,15 minut,1
20299,Čokoladna salama,sladice: pecivo,11,3,2015,90 minut,2
20300,Makovčki,sladice: pecivo,12,3,2015,45 minut,2
20301,Piščanec v kokosu,mesne jedi: perutnina,15,3,2015,30 minut,2
20302,Pogača,kruh,17,3,2015,120 minut,2
20303,Soba rezanci z azijskimi okusi,eksotika: Indija,17,3,2015,30 minut,2
20304,Kavina torta z domačim pudingom,sladice: torte,18,3,2015,60 minut,2
20305,Domači kavni puding,sladice: kreme za torte in peciva,18,3,2015,15 minut,1
20306,Piškoti kavna zrna,sladice: piškoti,19,3,2015,60 minut,1
20307,Solata s svežo jogurtovo polivko,solate,19,3,2015,30 minut,1
20308,Babičini žepki,sladice: piškoti,20,3,2015,120 minut,1
20309,Malinine sanje,sladice: torte,23,3,2015,120 minut,3
20310,Testenine s tuno; repki kozic in rakovimi palčkami ,testenine,23,3,2015,60 minut,2
20311,Telečji navihančki,mesne jedi: ostalo,24,3,2015,60 minut,3
20312,Kremna gobja omakica,gobje jedi,25,3,2015,30 minut,2
20313,Osja gnezda s kokosom,sladice: pecivo,25,3,2015,60 minut,2
20314,Kremna čemaževa juha,juhe in zakuhe: zelenjavne juhe,27,3,2015,45 minut,1
20315,Testenine s čemažem,testenine,27,3,2015,45 minut,1
20316,Zebrice,sladice: pecivo,28,3,2015,30 minut,1
