id,ime_recepta,ime_uporabnika,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20112,Testo za najboljše tortilje,božiček1,ostale jedi: dodatki jedem,4,12,2014,15 minut,1
20113,Čokoladni muffini,little_me,sladice: pecivo,4,12,2014,30 minut,1
20114,Super banana,14moniii,sladice: pecivo,4,12,2014,60 minut,2
20115,Medena potica,mopsika,sladice: potice,5,12,2014,150 minut,4
20116,Slastni ocvirkovi kolački,mopsika,ostale jedi: dodatki jedem,5,12,2014,90 minut,2
20117,Smetanova omaka z tuno in bučkami,billika5,omake: tople,6,12,2014,30 minut,1
20118,Piščanec po kmečko,anamarija1,mesne jedi: perutnina,6,12,2014,60 minut,2
20119,Ekspresna pica brez vzhajanja,teyc,mesne jedi: ostalo,6,12,2014,15 minut,1
20120,Rustična borovničevo - čokoladna torta,missan,sladice: torte,7,12,2014,60 minut,1
20121,Perutninski narastek,anamarija1,mesne jedi: sesekljano meso,7,12,2014,45 minut,2
20122,Odlična pogača,fruza,enolončnice,7,12,2014,60 minut,1
20123,Skutina rezina z goji jagodami,14moniii,sladice: pecivo,8,12,2014,60 minut,2
20124,Kolerabin pomfrit,KarelVeliki,priloge: ostalo,8,12,2014,60 minut,1
20125,Eksotična limonada,Lojzka123,napitki: brezalkoholni,9,12,2014,5 minut,1
20126,Piškoti za lenuhe,hribovc61,sladice: piškoti,11,12,2014,45 minut,1
20127,Lososov tartar,bojanz6,morska hrana: ribe,11,12,2014,15 minut,2
20128,Marmelada iz malin in chia semen,PetraPan,ozimnica: sladki shranki,11,12,2014,30 minut,1
20129,Zeleni smoothie,PetraPan,napitki: brezalkoholni,12,12,2014,5 minut,1
20130,Mesne kroglice,BlurredLimes,mesne jedi: sesekljano meso,12,12,2014,60 minut,2
20131,Kuhano pivo ,BlurredLimes,eksotika: ostale dežele,15,12,2014,45 minut,1
20132,Tartar iz rakovih repkov; manga in avokada ,mamamia,morska hrana: raki,15,12,2014,60 minut,3
20133,Testo za pizzo,05sostar,kruh,15,12,2014,120 minut,1
20134,Lignji na pirini "rižoti" ,mamamia,morska hrana: ostalo,16,12,2014,90 minut,3
20135,Ingverjev čaj ,Lojzka123,napitki: brezalkoholni,16,12,2014,15 minut,1
20136,Pehtranova potica,bs_ovka,sladice: potice,16,12,2014,180 minut,2
20137,Pecivo na lončke,piskrcek,sladice: pecivo,16,12,2014,60 minut,1
20138,Vanilijev puding z jabolki in cimetom,galy,sladice: pudingi,16,12,2014,15 minut,1
20139,Malo bolj zdrava orehova potica,Eva Ana,sladice: potice,17,12,2014,120 minut,3
20140,Pečene curry perutničke,T as Tasty,mesne jedi: perutnina,17,12,2014,60 minut,1
20141,Vege tortellini z okusom po dimljenem siru,April is cooking,predjedi: tople,17,12,2014,75 minut,3
20142,Kardamomov kolač,sarabande,sladice: pecivo,18,12,2014,75 minut,1
