id,dan,mesec,leto
20177,5,1,2015
20178,5,1,2015
20180,6,1,2015
20181,6,1,2015
20182,6,1,2015
20183,7,1,2015
20184,7,1,2015
20185,7,1,2015
20186,7,1,2015
20187,8,1,2015
20188,8,1,2015
20189,9,1,2015
20190,9,1,2015
20191,10,1,2015
20192,10,1,2015
20193,10,1,2015
20194,12,1,2015
20195,12,1,2015
20196,13,1,2015
20197,13,1,2015
20198,14,1,2015
20199,14,1,2015
20200,16,1,2015
20201,16,1,2015
20202,17,1,2015
20203,17,1,2015
20204,20,1,2015
20205,20,1,2015
20206,20,1,2015
20207,21,1,2015
20208,21,1,2015
20209,21,1,2015
20210,21,1,2015
20211,22,1,2015
20212,22,1,2015
20213,22,1,2015
20214,23,1,2015
20215,23,1,2015
20216,26,1,2015
20217,27,1,2015
20218,27,1,2015
20219,30,1,2015
20220,30,1,2015
20221,31,1,2015
20222,31,1,2015
20223,31,1,2015
20224,31,1,2015
20225,2,2,2015
20226,2,2,2015
20227,2,2,2015
20228,2,2,2015
20229,3,2,2015
20230,3,2,2015
20231,3,2,2015
20232,3,2,2015
20233,4,2,2015
20234,4,2,2015
20235,4,2,2015
20236,5,2,2015
20237,5,2,2015
20238,5,2,2015
20239,6,2,2015
20240,6,2,2015
20241,6,2,2015
20242,10,2,2015
20243,10,2,2015
20244,11,2,2015
20245,11,2,2015
20246,11,2,2015
20247,11,2,2015
20248,12,2,2015
20249,12,2,2015
20250,12,2,2015
20251,12,2,2015
20252,13,2,2015
20253,13,2,2015
20254,13,2,2015
20255,14,2,2015
20256,14,2,2015
20257,13,2,2015
20258,14,2,2015
20259,16,2,2015
20260,16,2,2015
20261,16,2,2015
20262,16,2,2015
20263,17,2,2015
20264,17,2,2015
20265,17,2,2015
20266,17,2,2015
20267,23,2,2015
20268,23,2,2015
20269,24,2,2015
20270,24,2,2015
20271,24,2,2015
20272,24,2,2015
20275,25,2,2015
20276,25,2,2015
20277,25,2,2015
20278,25,2,2015
20279,26,2,2015
20280,26,2,2015
20281,26,2,2015
20282,26,2,2015
20283,27,2,2015
20284,27,2,2015
20285,27,2,2015
20286,4,3,2015
20287,4,3,2015
20288,5,3,2015
20289,5,3,2015
20290,6,3,2015
20291,7,3,2015
20292,8,3,2015
20293,6,3,2015
20294,9,3,2015
20295,10,3,2015
20296,11,3,2015
20298,11,3,2015
20299,11,3,2015
20300,12,3,2015
20301,15,3,2015
20302,17,3,2015
20303,17,3,2015
20304,18,3,2015
20305,18,3,2015
20306,19,3,2015
20307,19,3,2015
20308,20,3,2015
20309,23,3,2015
20310,23,3,2015
20311,24,3,2015
