id,ime_recepta,vrsta_jedi,dan,mesec,leto,cas_priprave
235,Ameriška sirova omaka,omake: tople,24,1,1999,ni doloèen
236,Èesnova omaka,omake: hladne,15,4,1999,ni doloèen
237,Èesnova omaka,omake: hladne,15,4,1999,ni doloèen
238,Drobnjakova omaka,omake: tople,17,1,2000,ni doloèen
239,Gobanova omaka,omake: tople,5,9,1999,ni doloèen
240,Jabolèni hren,omake: hladne,17,1,2000,ni doloèen
241,Kumarièna omaka s krompirjem,omake: tople,13,1,1998,ni doloèen
242,Majoneza,omake: hladne,20,12,1997,ni doloèen
243,Majoneza,omake: hladne,20,12,1997,ni doloèen
244,Mutabal,omake: hladne,26,6,1998,ni doloèen
245,Namaz iz gorgonzole,ostale jedi: polizdelki,14,2,1999,ni doloèen
246,Omaka iz buèk,omake: tople,7,7,1998,ni doloèen
247,Omaka iz svežih sliv,omake: tople,7,7,1998,ni doloèen
248,Paradižnikova omaka za špagete,omake: tople,30,3,1999,ni doloèen
249,Salsa,omake: hladne,25,1,1999,ni doloèen
250,Sirova omaka,omake: tople,24,1,1999,ni doloèen
251,Smetanov hren,omake: hladne,17,1,2000,ni doloèen
252,Zelenjavna omaka za špagete,omake: tople,26,11,1998,ni doloèen
253,Ajvar,solate,1,8,2000,ni doloèen
254,Ameriška zeljna solata,solate,30,3,1999,ni doloèen
255,Božanska solata,solate,19,7,1999,ni doloèen
256,Èebula v solati,solate,19,7,1999,ni doloèen
257,Eksotièna solata,solate,19,6,1999,ni doloèen
258,Francoska solata,solate,9,3,1999,ni doloèen
259,Hladna krompirjeva solata,solate,20,12,1999,ni doloèen
260,Kraljevska solata,solate,11,7,2000,ni doloèen
261,Kumarièna solata z jogurtom,solate,7,6,1999,ni doloèen
262,Madžarska solata s fižolom,solate,4,9,2000,ni doloèen
263,Osvežilna solata,solate,5,8,1998,ni doloèen
264,Paradižnikova solata z mozarela sirom,solate,22,5,1998,ni doloèen
265,Ravioli v solati,solate,22,5,1998,ni doloèen
266,Riž v solati,solate,9,3,1999,ni doloèen
267,Solata iz jajèevcev,solate,23,11,1998,ni doloèen
268,Solata iz kisle repe,solate,22,5,1998,ni doloèen
269,Solata Karakas,solate,15,3,2000,ni doloèen
270,Solata Piki,solate,24,2,1999,ni doloèen
272,Solata s sirom,solate,22,5,1998,ni doloèen
273,Solata strelcev,solate,22,5,1998,ni doloèen
274,Solata z govedino,solate,17,3,1999,ni doloèen
275,Solata za angele,solate,22,5,1998,ni doloèen
276,Šobska solata,solate,6,4,2000,ni doloèen
277,Topla solata s pišèanèjimi jetrci,solate,28,12,1998,ni doloèen
278,Vitlof v solati,solate,20,12,1997,ni doloèen
279,Zelena v solati z majonezo,solate,9,3,1999,ni doloèen
280,Zimska solata,solate,9,3,1999,ni doloèen
281,Afroditina hruška,sladice: kompoti,22,6,1998,ni doloèen
282,Ajdova potica,sladice: potice,23,12,1998,ni doloèen
283,Ajdov trijet,sladice: pecivo,30,1,1999,ni doloèen
284,Ameriška limonada,napitki: brezalkoholni,22,6,1998,ni doloèen
285,Ameriške palaèinke,sladice: palaèinke,19,6,2000,ni doloèen
286,Ameriški krofki,sladice: pecivo,10,8,1998,ni doloèen
287,Bajadere,sladice: ostalo,22,3,1999,ni doloèen
288,Baklava,sladice: pecivo,22,2,1999,ni doloèen
290,Banana split,sladice: sladoledi,22,6,1998,ni doloèen
291,Bananov kruh,sladice: pecivo,29,12,1999,ni doloèen
292,Barbine breskvice,sladice: piškoti,26,6,1998,ni doloèen
293,Bela pita,sladice: pecivo,6,11,1999,ni doloèen
294,Beljakov kolaè,sladice: pecivo,12,7,1999,ni doloèen
295,Berlinske rezine,sladice: pecivo,3,5,2000,ni doloèen
